Match_no,Ballnumber,Inningno,Over,Outcome,Batter,Bowler,Comment,Score,runs
14,37,1,5,1,sam curran,Marco Jansen,"marco jansen to sam curran, 1 run,",1,1
14,38,1,5,0,shikhar dhawan,Marco Jansen,"marco jansen to shikhar dhawan, no run,",0,0
14,39,1,5,0,shikhar dhawan,Marco Jansen,"marco jansen to shikhar dhawan, no run,",0,0
14,40,1,6,4,n sundar,Washing,"washington sundar to sam curran, four,",4,4
14,41,1,6,1,n sundar,Washing,"washington sundar to sam curran, 1 run,",1,1
14,42,1,6,0,n sundar,Washing,"washington sundar to shikhar dhawan, no run,",0,0
14,43,1,6,0,n sundar,Washing,"washington sundar to shikhar dhawan, no run,",0,0
14,44,1,6,1,n sundar,Washing,"washington sundar to shikhar dhawan, 1 run,",1,1
14,45,1,6,0,n sundar,Washing,"washington sundar to sam curran, no run,",0,0
14,46,1,7,4,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, four,",4,4
14,47,1,7,1,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, 1 run,",1,1
14,48,1,7,1,sam curran,T Natarajan,"t natarajan to sam curran, 1 run,",1,1
14,49,1,7,0,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, no run,",0,0
14,50,1,7,4,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, four,",4,4
14,51,1,7,1,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, 1 run,",1,1
14,52,1,8,1,shikhar dhawan,Mayank Markande,"mayank markande to shikhar dhawan, 1 run,",1,1
14,53,1,8,0,sam curran,Mayank Markande,"mayank markande to sam curran, no run,",0,0
14,54,1,8,4,sam curran,Mayank Markande,"mayank markande to sam curran, four,",4,4
14,55,1,8,0,sam curran,Mayank Markande,"mayank markande to sam curran, no run,",0,0
14,56,1,8,w,sam curran,Mayank Markande,"mayank markande to sam curran, no run,                           wicket - c b kumar b m markande batsmen out 22(15)",0,0
14,57,1,8,1,sikandar raza,Mayank Markande,"mayank markande to sikandar raza, 1 run,",1,1
14,58,1,9,1wd,sikandar raza,Umran Malik,"umran malik to sikandar raza, 1 wide,",1,0
14,59,1,9,0,sikandar raza,Umran Malik,"umran malik to sikandar raza, no run,",0,0
14,60,1,9,2,sikandar raza,Umran Malik,"umran malik to sikandar raza, 2 runs,",2,2
14,61,1,9,0,sikandar raza,Umran Malik,"umran malik to sikandar raza, no run,",0,0
14,62,1,9,2,sikandar raza,Umran Malik,"umran malik to sikandar raza, 2 runs,",2,2
14,63,1,9,w,sikandar raza,Umran Malik,"umran malik to sikandar raza, no run,                           wicket - c mayank agarwal b umran malik batsmen out 5(6)",0,0
14,64,1,9,4,shahrukh khan,Umran Malik,"umran malik to shahrukh khan, four,",4,4
14,65,1,10,0,shikhar dhawan,Mayank Markande,"mayank markande to shikhar dhawan, no run,",0,0
14,66,1,10,1,shikhar dhawan,Mayank Markande,"mayank markande to shikhar dhawan, 1 run,",1,1
14,67,1,10,0,shahrukh khan,Mayank Markande,"mayank markande to shahrukh khan, no run,",0,0
14,68,1,10,w,shahrukh khan,Mayank Markande,"mayank markande to shahrukh khan, no run,                           wicket - lbw b m markande batsmen out 4(3)",0,0
14,69,1,10,1,harpreet brar,Mayank Markande,"mayank markande to harpreet brar, 1 run,",1,1
14,70,1,10,1,shikhar dhawan,Mayank Markande,"mayank markande to shikhar dhawan, 1 run,",1,1
14,71,1,11,1,shikhar dhawan,Umran Malik,"umran malik to shikhar dhawan, 1 run,",1,1
14,72,1,11,w,harpreet brar,Umran Malik,"umran malik to harpreet brar, no run,                           wicket - b umran malik batsmen out 1(2)",0,0
14,73,1,11,0,rahul chahar,Umran Malik,"umran malik to rahul chahar, no run,",0,0
14,74,1,11,0,rahul chahar,Umran Malik,"umran malik to rahul chahar, no run,",0,0
14,75,1,11,0,rahul chahar,Umran Malik,"umran malik to rahul chahar, no run,",0,0
14,76,1,11,0,rahul chahar,Umran Malik,"umran malik to rahul chahar, no run,",0,0
14,77,1,12,1,shikhar dhawan,Mayank Markande,"mayank markande to shikhar dhawan, 1 run,",1,1
14,78,1,12,0,rahul chahar,Mayank Markande,"mayank markande to rahul chahar, no run,",0,0
14,79,1,12,0,rahul chahar,Mayank Markande,"mayank markande to rahul chahar, no run,",0,0
14,80,1,12,0,rahul chahar,Mayank Markande,"mayank markande to rahul chahar, no run,",0,0
14,81,1,12,w,rahul chahar,Mayank Markande,"mayank markande to rahul chahar, no run,                           wicket - lbw b m markande batsmen out 0(8)",0,0
14,82,1,12,0,nathan ellis,Mayank Markande,"mayank markande to nathan ellis, no run,",0,0
